sightability_score,sightability_tier,scientific_name,common_name_en,common_name_es,category,phylum,class,order,family,has_photo,inat_observations,observation_count,wikipedia_url
85,common,Schroederichthys chilensis,Redspotted Catshark,Pintarroja,fish_and_vertebrates,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,yes,190,8,http://en.wikipedia.org/wiki/Redspotted_catshark
80,common,Macrocystis pyrifera,Giant Kelp,Kelp gigante,algae,Ochrophyta,Phaeophyceae,Laminariales,Laminariaceae,yes,15844,362,http://en.wikipedia.org/wiki/Macrocystis_pyrifera
80,common,Perumytilus purpuratus,Purple Mussel,chorito maico,mollusks,Mollusca,Bivalvia,Mytilida,Mytilidae,yes,946,82,https://en.wikipedia.org/wiki/Perumytilus
80,common,Phymactis clematis,,Poto de mar,cnidarians,Cnidaria,Hexacorallia,Actiniaria,Actiniidae,yes,960,68,
80,common,Chiton granosus,,Quitón con granos,mollusks,Mollusca,Polyplacophora,Chitonida,Chitonidae,yes,679,62,
80,common,Cephaloscyllium ventriosum,Swellshark,pejegato globo,fish_and_vertebrates,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,yes,613,1,http://en.wikipedia.org/wiki/Swellshark
80,common,Stichaster striatus,Common Light-striated Sea Star,Estrella de mar de cinco brazos,echinoderms,Echinodermata,Asteroidea,Forcipulatida,Stichasteridae,yes,605,7,http://en.wikipedia.org/wiki/Stichaster_striatus
80,common,Mazzaella laminarioides,spoon luga,luga cuchara,algae,Rhodophyta,Florideophyceae,Gigartinales,Gigartinaceae,yes,495,62,
80,common,Siphonaria lessonii,Lesson's False Limpet,Lapa pulmonada,mollusks,Mollusca,Gastropoda,Siphonariida,Siphonariidae,yes,364,71,https://en.wikipedia.org/wiki/Siphonaria_lessonii
80,common,Odontaster penicillatus,Tooth Star,Estrella adornada,echinoderms,Echinodermata,Asteroidea,Valvatida,Odontasteridae,yes,175,6,
80,common,Robsonella fontaniana,Fontaine's Octopus,Pulpo de Fontaine,mollusks,Mollusca,Cephalopoda,Octopoda,Octopodidae,yes,158,3,
75,common,Corallina officinalis,coral meed,,algae,Rhodophyta,Florideophyceae,Corallinales,Corallinaceae,yes,8536,38,http://en.wikipedia.org/wiki/Corallina_officinalis
75,common,Heliaster helianthus,South American Multiradiate Sun Star,Sol de mar,echinoderms,Echinodermata,Asteroidea,Forcipulatida,Heliasteridae,yes,970,4,http://en.wikipedia.org/wiki/Heliaster_helianthus
75,common,Echinolittorina peruviana,Peruvian periwinkle,Caracol pijama,mollusks,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,yes,691,38,http://en.wikipedia.org/wiki/Echinolittorina_peruviana
75,common,Arbacia nigra,Black Sea Urchin,Erizo negro,echinoderms,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,yes,563,3,https://en.wikipedia.org/wiki/Tetrapygus
75,common,Arbacia dufresnii,Naked Green Sea Urchin,Erizo desnudo verde,echinoderms,Echinodermata,Echinoidea,Arbacioida,Arbaciidae,yes,517,3,http://en.wikipedia.org/wiki/Arbacia_dufresnii
75,common,Jehlius cirratus,,Picacho,crustaceans,Arthropoda,Thecostraca,Balanomorpha,Chthamalidae,yes,469,21,https://en.wikipedia.org/wiki/Jehlius_cirratus
75,common,Anasterias antarctica,Cinderella Sea Star,,echinoderms,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,yes,473,1,https://en.wikipedia.org/wiki/Anasterias_antarctica
75,common,Anthothoe chilensis,striped anemone,,cnidarians,Cnidaria,Hexacorallia,Actiniaria,Sagartiidae,yes,448,20,https://en.wikipedia.org/wiki/Anthothoe_chilensis
75,common,Hippasteria phrygiana,Trojan Star,,echinoderms,Echinodermata,Asteroidea,Valvatida,Goniasteridae,yes,436,2,http://en.wikipedia.org/wiki/Hippasteria_phrygiana
